AVG R2 SCORE: 0.8726728925350334, SYMBOLIC: 0.7718065987511445
AVG R2 SCORE: 0.9241639302761211, SYMBOLIC: 0.7652760627756908
AVG R2 SCORE: 0.7872475160012746, SYMBOLIC: 0.7517892450747067
AVG R2 SCORE: 0.9313320694961336, SYMBOLIC: 0.8407609599601423
AVG R2 SCORE: 0.849669417595243, SYMBOLIC: 0.7717209939985754
AVG R2 SCORE: 0.9473682976561116, SYMBOLIC: 0.8584382279474774
AVG R2 SCORE: 0.8879831666904158, SYMBOLIC: 0.7953066087136137
AVG R2 SCORE: 0.9530808414800159, SYMBOLIC: 0.8393302376647611
AVG R2 SCORE: 0.8824506637689083, SYMBOLIC: 0.8626686152414724
AVG R2 SCORE: 0.9604087337335369, SYMBOLIC: 0.7407611220345618
AVG R2 SCORE: 0.8675090234894258, SYMBOLIC: 0.8297058230046721
AVG R2 SCORE: 0.8825134100569503, SYMBOLIC: NaN
AVG R2 SCORE: 0.9231455210789562, SYMBOLIC: 0.7231824281481106
AVG R2 SCORE: 0.9582667160340694, SYMBOLIC: 0.8533777652059031
AVG R2 SCORE: -8.518218960485772, SYMBOLIC: NaN
AVG R2 SCORE: 0.8843288386655204, SYMBOLIC: NaN
AVG R2 SCORE: 0.9645255436157163, SYMBOLIC: 0.79551549399303
AVG R2 SCORE: 0.9483834732170479, SYMBOLIC: 0.8742888430030133
AVG R2 SCORE: 0.9081602169553309, SYMBOLIC: 0.7650770939808067
AVG R2 SCORE: -2.7832556845199856, SYMBOLIC: -4.315986068674969
AVG R2 SCORE: 0.9130685353705827, SYMBOLIC: 0.7499478369583743
AVG R2 SCORE: 0.9206205726893784, SYMBOLIC: 0.6225422193545261
AVG R2 SCORE: 0.9312591757593751, SYMBOLIC: 0.7836142015891324
AVG R2 SCORE: 0.9573944792981717, SYMBOLIC: 0.8180886166928106
AVG R2 SCORE: 0.8084994513486695, SYMBOLIC: 0.5104303212175506
AVG R2 SCORE: 0.9172812321242881, SYMBOLIC: 0.7147424226113444
AVG R2 SCORE: 0.9287675708758331, SYMBOLIC: 0.8242498636296828
AVG R2 SCORE: 0.924166828011732, SYMBOLIC: 0.8440148434849213
AVG R2 SCORE: 0.9598130121419735, SYMBOLIC: 0.8499452500650644
AVG R2 SCORE: 0.929209256253866, SYMBOLIC: 0.8113624475640048
AVG R2 SCORE: 0.9559070366578517, SYMBOLIC: NaN
AVG R2 SCORE: -0.12369627507914746, SYMBOLIC: -0.12253931453525282
AVG R2 SCORE: 0.8867158959542749, SYMBOLIC: 0.8230940430720832
AVG R2 SCORE: 0.8708163886205542, SYMBOLIC: 0.4612451006264899
AVG R2 SCORE: -2.057050429501934, SYMBOLIC: 0.34182694142192105
AVG R2 SCORE: 0.8897314239163988, SYMBOLIC: 0.7714835759391896
AVG R2 SCORE: 0.8850788081883797, SYMBOLIC: 0.7885481832636331
AVG R2 SCORE: 0.9283709021159062, SYMBOLIC: 0.8118229155088839
AVG R2 SCORE: 0.9417765235640644, SYMBOLIC: 0.8448103334479399
AVG R2 SCORE: 0.8527052832558347, SYMBOLIC: 0.734279545362283
AVG R2 SCORE: -0.18459966801559838, SYMBOLIC: -0.17865354293619595
AVG R2 SCORE: 0.9269761795427336, SYMBOLIC: 0.7730840755751877
AVG R2 SCORE: 0.9073150880012882, SYMBOLIC: 0.8342326326277696
AVG R2 SCORE: 0.8738233860909773, SYMBOLIC: 0.7801806585634483
AVG R2 SCORE: 0.838333820509485, SYMBOLIC: 0.790145249461813
AVG R2 SCORE: 0.9494759609378718, SYMBOLIC: 0.8621010552311041
AVG R2 SCORE: 0.9559091324254545, SYMBOLIC: 0.8214626210824564
AVG R2 SCORE: -5.187655237223816, SYMBOLIC: NaN
AVG R2 SCORE: 0.921391283699277, SYMBOLIC: 0.8246412976443669
AVG R2 SCORE: 0.9319778481768513, SYMBOLIC: 0.8336481183789832
AVG R2 SCORE: 0.9540012434539895, SYMBOLIC: 0.8236710929363488
AVG R2 SCORE: 0.9267779542545818, SYMBOLIC: 0.8526584493355648
AVG R2 SCORE: 0.9436137101483796, SYMBOLIC: 0.8360729941027362
AVG R2 SCORE: 0.9468253194116667, SYMBOLIC: 0.854745914023647
AVG R2 SCORE: 0.9516489304696844, SYMBOLIC: 0.8405686526780818
AVG R2 SCORE: 0.9553575518858747, SYMBOLIC: 0.895641318607573
AVG R2 SCORE: 0.9557112077113746, SYMBOLIC: 0.813953047957378
AVG R2 SCORE: 0.9306304752429764, SYMBOLIC: 0.8453505923847292
AVG R2 SCORE: 0.9481647455083492, SYMBOLIC: 0.820221636221573
AVG R2 SCORE: 0.9556523427703683, SYMBOLIC: 0.8338915336902186
AVG R2 SCORE: 0.95855643764263, SYMBOLIC: 0.8610428665689887
AVG R2 SCORE: 0.8431746174159377, SYMBOLIC: 0.7834594330865283
AVG R2 SCORE: 0.9561596683495102, SYMBOLIC: 0.8338157935093149
AVG R2 SCORE: -0.018999541047105016, SYMBOLIC: -0.01887443678719818
AVG R2 SCORE: 0.9182866124583983, SYMBOLIC: 0.6138706218872967
AVG R2 SCORE: 0.9405055980670298, SYMBOLIC: 0.7825902991845551
AVG R2 SCORE: 0.9112003823135947, SYMBOLIC: 0.8154598480035435
AVG R2 SCORE: 0.8424384621904373, SYMBOLIC: 0.8129532681038922
AVG R2 SCORE: 0.9523841147235925, SYMBOLIC: NaN
AVG R2 SCORE: 0.9273749786025759, SYMBOLIC: 0.7833255340385075
AVG R2 SCORE: 0.9527624953178947, SYMBOLIC: 0.7930467070078494
AVG R2 SCORE: 0.87455282973531, SYMBOLIC: 0.7940471832119191
AVG R2 SCORE: 0.42701987612677356, SYMBOLIC: 0.288510425469338
AVG R2 SCORE: 0.9277278083761289, SYMBOLIC: 0.8281033800388833
AVG R2 SCORE: 0.9321858793721333, SYMBOLIC: 0.8323441110356953
AVG R2 SCORE: -0.045698437266691136, SYMBOLIC: -0.045887421207007686
AVG R2 SCORE: 0.8653118063373512, SYMBOLIC: 0.8083754791114487
AVG R2 SCORE: -8.055093459384121, SYMBOLIC: 0.7780875193191046
AVG R2 SCORE: 0.915597799577478, SYMBOLIC: 0.7813254703649289
AVG R2 SCORE: 0.9137997519828358, SYMBOLIC: 0.8527287719553949
AVG R2 SCORE: 0.9233056030447528, SYMBOLIC: 0.751200013491746
AVG R2 SCORE: 0.941090367969821, SYMBOLIC: 0.7237722101521316
AVG R2 SCORE: 0.958459367041377, SYMBOLIC: -91.34758963254221
AVG R2 SCORE: 0.9455028315227588, SYMBOLIC: NaN
AVG R2 SCORE: 0.851833845422194, SYMBOLIC: 0.7906908609229133
AVG R2 SCORE: 0.94329922067602, SYMBOLIC: 0.8693718051808089
AVG R2 SCORE: 0.9372295752441806, SYMBOLIC: 0.7800960753440223
AVG R2 SCORE: 0.8848888103846486, SYMBOLIC: 0.7821639729066524
AVG R2 SCORE: 0.9258689736638228, SYMBOLIC: 0.8558166132393206
AVG R2 SCORE: -0.9828002980197358, SYMBOLIC: -0.9534390092612114
AVG R2 SCORE: 0.942212646078773, SYMBOLIC: 0.7424933647187031
AVG R2 SCORE: 0.9624232461216824, SYMBOLIC: 0.7852813483008249
AVG R2 SCORE: 0.9546672699454459, SYMBOLIC: 0.8355878231035024
AVG R2 SCORE: 0.9479941645131923, SYMBOLIC: 0.8064279587393551
AVG R2 SCORE: 0.934224786894901, SYMBOLIC: 0.8503919416402639
AVG R2 SCORE: -2965.1154659496615, SYMBOLIC: -117331.52282426487
AVG R2 SCORE: 0.9208822405754221, SYMBOLIC: 0.7848369508168598
AVG R2 SCORE: 0.9527610648903713, SYMBOLIC: 0.8469542349751208
AVG R2 SCORE: 0.4577785440574457, SYMBOLIC: 0.45434325524495983
AVG R2 SCORE: 0.8175836740177249, SYMBOLIC: 0.8073180982429342
AVG R2 SCORE: 0.9540647115595947, SYMBOLIC: 0.8486593757025951
AVG R2 SCORE: -261.0427658197571, SYMBOLIC: 0.5897045441683609
AVG R2 SCORE: 0.8526603743004809, SYMBOLIC: 0.7775326849035655
AVG R2 SCORE: 0.9611119987504164, SYMBOLIC: 0.8328647980721126
