AVG R2 SCORE: 0.7154938793542607, SYMBOLIC: 0.7052113121551628
AVG R2 SCORE: 0.9620637608887279, SYMBOLIC: 0.9618843610296852
AVG R2 SCORE: 0.004133442991309133, SYMBOLIC: NaN
AVG R2 SCORE: -0.03843510359415986, SYMBOLIC: -0.037729135455929375
AVG R2 SCORE: 0.9878523634532929, SYMBOLIC: 0.9852360073637907
AVG R2 SCORE: 0.982646609390315, SYMBOLIC: 0.9821318577209677
AVG R2 SCORE: 0.976258150612344, SYMBOLIC: 0.9737883517415529
AVG R2 SCORE: 0.9667494080192117, SYMBOLIC: 0.9568763984539636
AVG R2 SCORE: 0.07672293048177076, SYMBOLIC: NaN
AVG R2 SCORE: 0.9742504561556539, SYMBOLIC: 0.9663995457664603
AVG R2 SCORE: 0.9741113513263113, SYMBOLIC: 0.973769782161682
AVG R2 SCORE: 0.9526709979972555, SYMBOLIC: 0.9372654361512098
AVG R2 SCORE: -0.000760927251575727, SYMBOLIC: -0.0011720183103264004
AVG R2 SCORE: 0.970069418332829, SYMBOLIC: 0.9702529496229285
AVG R2 SCORE: 0.9900085754094818, SYMBOLIC: 0.9840395461709379
AVG R2 SCORE: 0.9872697710204671, SYMBOLIC: 0.9856588960602867
AVG R2 SCORE: 0.9844005036289215, SYMBOLIC: 0.9832893157957512
AVG R2 SCORE: 0.9798661511348904, SYMBOLIC: 0.9768787186848066
AVG R2 SCORE: 0.9860582786787644, SYMBOLIC: 0.9850849238747303
AVG R2 SCORE: 0.9835225432708137, SYMBOLIC: 0.980302116208608
AVG R2 SCORE: 0.9795184817486322, SYMBOLIC: 0.9783996711053691
AVG R2 SCORE: 0.9782368730593298, SYMBOLIC: 0.9756170042870841
AVG R2 SCORE: 0.9813013968758401, SYMBOLIC: 0.9808899379809132
AVG R2 SCORE: 0.9852535374297294, SYMBOLIC: 0.9852967629354934
AVG R2 SCORE: 0.9733410777441558, SYMBOLIC: 0.8826935597543986
AVG R2 SCORE: 0.9843604257513001, SYMBOLIC: 0.984567566772275
AVG R2 SCORE: 0.9844441750477342, SYMBOLIC: 0.981138593591186
AVG R2 SCORE: 0.980455690933927, SYMBOLIC: 0.9767264048377581
AVG R2 SCORE: 0.8852325918749611, SYMBOLIC: 0.8856843543190915
AVG R2 SCORE: 0.8699199093937279, SYMBOLIC: 0.8665808065664398
AVG R2 SCORE: -0.009370581429311575, SYMBOLIC: -0.0036080102313595097
AVG R2 SCORE: 0.9726264211576467, SYMBOLIC: 0.9698577519201428
AVG R2 SCORE: 0.947147957024782, SYMBOLIC: 0.9485272370353008
AVG R2 SCORE: 0.026842823624697115, SYMBOLIC: 0.025926504527487487
AVG R2 SCORE: 0.8597096339699241, SYMBOLIC: 0.7454156830768667
AVG R2 SCORE: -0.004855197100595676, SYMBOLIC: -0.0047638376164915175
AVG R2 SCORE: 0.9845026217494477, SYMBOLIC: 0.9776007105216583
AVG R2 SCORE: 0.9880006717685567, SYMBOLIC: 0.9868702659183127
AVG R2 SCORE: 0.9621660783486985, SYMBOLIC: 0.9599705684963671
AVG R2 SCORE: 0.9871903084523295, SYMBOLIC: 0.986514673207075
AVG R2 SCORE: 0.9489506020156819, SYMBOLIC: 0.9512853231067349
AVG R2 SCORE: 0.9831380699922654, SYMBOLIC: 0.9805971813749043
AVG R2 SCORE: -0.973650887594917, SYMBOLIC: -0.9837989869662143
AVG R2 SCORE: 0.9889307268708146, SYMBOLIC: 0.9875040569054626
AVG R2 SCORE: 0.8450862259609626, SYMBOLIC: 0.6877385659499107
AVG R2 SCORE: 0.9892620943686357, SYMBOLIC: 0.9880451115609734
AVG R2 SCORE: 0.9483295910900676, SYMBOLIC: 0.9494568711654964
AVG R2 SCORE: 0.9877792870519587, SYMBOLIC: 0.943311362694969
AVG R2 SCORE: 0.9754831203120091, SYMBOLIC: 0.9756062010480913
AVG R2 SCORE: 0.9823877033435802, SYMBOLIC: 0.9701874329127357
AVG R2 SCORE: 0.9823877033435802, SYMBOLIC: NaN
